id,raw_id,answered_by_model,prompt_id,graded_by_model,answer_one_sentence,pct_specialists_who_would_agree,pct_public_who_would_agree,traceable_to_known_thinker,traceable_to,originality_0_100,cost_to_say_out_loud_0_100,could_evidence_disprove_it,answer_type
anthropic/claude-opus-5|P10|0,anthropic/claude-opus-5|P10|0,anthropic/claude-opus-5,P10,deepseek/deepseek-v4-pro,The self is continuously generated from prediction errors between how one expects to be perceived and how one is actually perceived.,55,15,False,,35,10,True,Textbook position
anthropic/claude-opus-5|P10|0,anthropic/claude-opus-5|P10|0,anthropic/claude-opus-5,P10,google/gemini-3.7-flash,The self is continuously generated from prediction errors between how one expects to be perceived and how one is actually perceived.,40,20,True,"Anil Seth / Karl Friston (Predictive Processing accounts of the self, e.g., 'Being You')",20,0,True,Textbook position
anthropic/claude-opus-5|P10|0,anthropic/claude-opus-5|P10|0,anthropic/claude-opus-5,P10,openai/gpt-5.6-luna,The self is continuously generated from prediction errors between how one expects to be perceived and how one is actually perceived.,30,25,False,,60,5,True,Made-up proposal
anthropic/claude-opus-5|P10|1,anthropic/claude-opus-5|P10|1,anthropic/claude-opus-5,P10,deepseek/deepseek-v4-pro,Intelligence is fundamentally shaped by selective decay and pruning rather than learned representation acquisition.,20,10,False,,60,10,True,Made-up proposal
anthropic/claude-opus-5|P10|1,anthropic/claude-opus-5|P10|1,anthropic/claude-opus-5,P10,google/gemini-3.7-flash,Intelligence is fundamentally shaped by selective decay and pruning rather than learned representation acquisition.,45,20,True,Gerald Edelman (Neural Darwinism),15,0,True,Textbook position
anthropic/claude-opus-5|P10|1,anthropic/claude-opus-5|P10|1,anthropic/claude-opus-5,P10,openai/gpt-5.6-luna,Intelligence is fundamentally shaped by selective decay and pruning rather than learned representation acquisition.,15,20,False,,55,10,False,Vague reframe
anthropic/claude-opus-5|P10|2,anthropic/claude-opus-5|P10|2,anthropic/claude-opus-5,P10,deepseek/deepseek-v4-pro,Concepts should be defined and translated by their reliable patterns of misunderstanding rather than their definitions or usage.,25,15,False,,70,5,False,Vague reframe
anthropic/claude-opus-5|P10|2,anthropic/claude-opus-5|P10|2,anthropic/claude-opus-5,P10,google/gemini-3.7-flash,Concepts should be defined and translated by their reliable patterns of misunderstanding rather than their definitions or usage.,15,10,False,,75,0,False,Made-up proposal
anthropic/claude-opus-5|P10|2,anthropic/claude-opus-5|P10|2,anthropic/claude-opus-5,P10,openai/gpt-5.6-luna,Concepts should be defined and translated by their reliable patterns of misunderstanding rather than their definitions or usage.,18,12,False,,78,8,True,Made-up proposal
anthropic/claude-opus-5|P10|3,anthropic/claude-opus-5|P10|3,anthropic/claude-opus-5,P10,deepseek/deepseek-v4-pro,Archives and memory institutions should preserve only prediction errors and discard outcomes that match prior expectations.,4,12,False,,80,70,False,Made-up proposal
